Time, vA, vB, vC, targetVelocity, pwmA, pwmB, pwmC
22800, 682.52, 676.12, 664.44,649.70,0.31, 0.39, 0.76,
23000, 674.20, 670.93, 655.02,642.40,0.30, 0.36, 0.75,
23200, 667.34, 662.92, 648.08,635.10,0.28, 0.34, 0.72,
23400, 658.97, 656.50, 644.16,627.80,0.28, 0.32, 0.68,
23600, 651.43, 648.54, 636.62,620.50,0.26, 0.31, 0.66,
23800, 645.94, 642.33, 628.51,613.20,0.24, 0.29, 0.64,
24000, 640.71, 635.28, 621.04,605.90,0.21, 0.27, 0.63,
24200, 632.24, 628.65, 616.33,598.60,0.20, 0.26, 0.59,
24400, 624.32, 621.77, 608.90,591.30,0.20, 0.24, 0.57,
24600, 616.48, 609.95, 601.33,584.00,0.18, 0.25, 0.55,
24800, 608.67, 605.66, 597.28,576.70,0.18, 0.22, 0.52,
25000, 602.60, 597.58, 589.44,569.40,0.15, 0.22, 0.51,
25200, 592.92, 588.76, 582.91,562.10,0.16, 0.21, 0.48,
25400, 586.22, 583.00, 572.33,554.80,0.14, 0.19, 0.49,
25600, 579.66, 574.98, 566.14,547.50,0.13, 0.19, 0.47,
25800, 572.07, 566.14, 559.01,540.20,0.12, 0.19, 0.45,
26000, 558.89, 558.73, 553.91,532.90,0.15, 0.18, 0.43,
26200, 553.39, 551.82, 544.41,525.60,0.13, 0.17, 0.43,
26400, 551.24, 542.63, 539.82,518.30,0.09, 0.17, 0.40,
26600, 543.39, 536.93, 531.13,511.00,0.09, 0.15, 0.40,
26800, 534.26, 530.54, 522.88,503.70,0.08, 0.14, 0.40,
27000, 527.56, 524.01, 515.42,496.40,0.08, 0.13, 0.39,
27200, 518.22, 512.95, 507.53,489.10,0.08, 0.15, 0.38,
27400, 511.53, 505.96, 502.45,481.80,0.07, 0.13, 0.36,
27600, 502.96, 498.68, 491.27,474.50,0.07, 0.12, 0.37,
27800, 504.82, 500.94, 489.12,467.20,0.06, 0.11, 0.35,
28000, 484.45, 480.54, 478.00,459.90,0.08, 0.14, 0.33,
28200, 474.38, 475.76, 471.62,452.60,0.11, 0.11, 0.33,
28400, 471.47, 468.47, 465.31,445.30,0.07, 0.11, 0.31,
28600, 464.97, 461.88, 458.00,438.00,0.05, 0.09, 0.30,
28800, 456.62, 450.67, 446.86,430.70,0.06, 0.11, 0.32,
29000, 449.03, 443.16, 440.17,423.40,0.06, 0.11, 0.31,
29200, 440.60, 437.84, 435.09,416.10,0.06, 0.10, 0.29,
29400, 434.00, 428.08, 427.38,408.80,0.04, 0.11, 0.28,
