counter,av_current, av_target, spd,av_current, av_target, spd,av_current, av_target, spd
3,205.05,200.00,0.29,228.12,200.00,0.09,228.95,200.00,0.08
4,205.30,200.00,0.28,224.95,200.00,0.05,226.14,200.00,0.04
5,208.85,200.00,0.24,221.93,200.00,0.02,222.48,200.00,0.02
6,206.24,200.00,0.24,212.27,200.00,0.05,213.06,200.00,0.04
7,203.06,200.00,0.25,206.25,200.00,0.06,205.76,200.00,0.06
8,200.10,210.00,0.37,198.98,210.00,0.38,198.38,210.00,0.38
1,203.41,210.00,0.37,208.73,210.00,0.33,204.92,210.00,0.36
2,210.40,210.00,0.33,227.24,210.00,0.20,229.25,210.00,0.20
3,213.88,210.00,0.31,235.43,210.00,0.11,240.23,210.00,0.08
4,216.45,210.00,0.28,236.44,210.00,0.05,236.97,210.00,0.05
5,215.76,210.00,0.27,233.16,210.00,0.02,231.41,210.00,0.03
6,217.84,210.00,0.25,222.93,210.00,0.05,222.86,210.00,0.05
7,213.33,210.00,0.26,216.08,210.00,0.07,213.85,210.00,0.09
8,214.29,220.00,0.35,212.63,220.00,0.37,207.71,220.00,0.40
1,212.03,220.00,0.38,217.36,220.00,0.35,217.39,220.00,0.36
2,220.88,220.00,0.34,235.58,220.00,0.23,242.04,220.00,0.19
3,223.90,220.00,0.31,249.30,220.00,0.10,250.77,220.00,0.08
4,226.45,220.00,0.29,248.78,220.00,0.04,248.61,220.00,0.04
5,228.68,220.00,0.26,244.13,220.00,0.02,242.87,220.00,0.02
6,226.94,220.00,0.25,234.59,220.00,0.04,233.07,220.00,0.04
7,224.11,220.00,0.26,228.05,220.00,0.05,226.21,220.00,0.07
8,221.38,230.00,0.39,223.25,230.00,0.38,218.75,230.00,0.41
1,222.20,230.00,0.40,228.09,230.00,0.36,225.52,230.00,0.38
2,231.63,230.00,0.35,248.14,230.00,0.22,249.77,230.00,0.22
3,238.91,230.00,0.30,257.77,230.00,0.12,261.84,230.00,0.10
4,240.15,230.00,0.27,259.32,230.00,0.05,260.71,230.00,0.04
5,237.54,230.00,0.27,255.46,230.00,0.02,254.01,230.00,0.03
6,234.41,230.00,0.27,246.43,230.00,0.03,244.74,230.00,0.04
7,233.64,230.00,0.27,237.13,230.00,0.06,240.01,230.00,0.05
8,234.59,240.00,0.38,230.58,240.00,0.41,230.00,240.00,0.41
1,234.19,240.00,0.39,242.15,240.00,0.35,237.33,240.00,0.38
2,238.13,240.00,0.38,262.08,240.00,0.20,263.59,240.00,0.20
3,249.04,240.00,0.31,269.64,240.00,0.11,273.75,240.00,0.08
4,247.29,240.00,0.30,271.91,240.00,0.03,273.27,240.00,0.02
5,250.49,240.00,0.26,262.61,240.00,0.03,263.33,240.00,0.02
6,247.18,240.00,0.27,255.06,240.00,0.04,254.24,240.00,0.04
7,244.34,240.00,0.27,250.44,240.00,0.04,246.59,240.00,0.07
8,240.66,250.00,0.42,238.96,250.00,0.43,240.38,250.00,0.42
1,245.60,250.00,0.41,250.35,250.00,0.38,248.41,250.00,0.39
2,253.05,250.00,0.36,274.50,250.00,0.21,273.69,250.00,0.21
3,256.71,250.00,0.33,287.80,250.00,0.06,283.43,250.00,0.10
4,259.78,250.00,0.30,281.95,250.00,0.03,282.14,250.00,0.04
5,260.05,250.00,0.28,276.57,250.00,0.00,275.98,250.00,0.02
6,257.00,250.00,0.28,266.96,250.00,0.02,265.59,250.00,0.04
7,255.97,250.00,0.27,259.28,250.00,0.04,258.58,250.00,0.06
8,251.90,260.00,0.43,250.98,260.00,0.43,250.12,260.00,0.44
1,255.60,260.00,0.42,259.07,260.00,0.40,258.44,260.00,0.40
2,261.19,260.00,0.39,282.80,260.00,0.23,283.91,260.00,0.23
3,269.26,260.00,0.33,295.66,260.00,0.10,295.50,260.00,0.10
4,271.43,260.00,0.30,293.79,260.00,0.04,294.50,260.00,0.03
5,269.36,260.00,0.29,286.95,260.00,0.02,286.50,260.00,0.02
6,266.66,260.00,0.29,281.08,260.00,0.01,277.11,260.00,0.03
7,266.41,260.00,0.28,270.33,260.00,0.04,271.44,260.00,0.04
8,265.26,270.00,0.42,263.03,270.00,0.43,260.93,270.00,0.45
1,264.66,270.00,0.43,271.21,270.00,0.39,267.64,270.00,0.42
2,272.42,270.00,0.39,290.88,270.00,0.25,294.39,270.00,0.24
3,278.73,270.00,0.34,306.57,270.00,0.10,309.41,270.00,0.08
4,283.65,270.00,0.29,307.52,270.00,0.02,306.87,270.00,0.02
5,280.53,270.00,0.28,297.43,270.00,0.02,297.52,270.00,0.01
6,278.16,270.00,0.28,290.97,270.00,0.01,287.89,270.00,0.03
7,274.42,270.00,0.29,281.82,270.00,0.03,280.28,270.00,0.04
8,272.17,280.00,0.45,270.90,280.00,0.46,272.49,280.00,0.45
1,276.09,280.00,0.44,285.65,280.00,0.38,278.12,280.00,0.43
2,283.07,280.00,0.40,304.93,280.00,0.23,304.73,280.00,0.25
3,291.06,280.00,0.34,318.50,280.00,0.09,316.70,280.00,0.11
4,292.92,280.00,0.30,313.66,280.00,0.04,315.99,280.00,0.04
5,290.13,280.00,0.30,308.64,280.00,0.01,308.34,280.00,0.03
6,290.74,280.00,0.27,299.10,280.00,0.02,299.01,280.00,0.03
7,287.31,280.00,0.28,292.13,280.00,0.03,292.08,280.00,0.04
8,282.66,290.00,0.47,282.55,290.00,0.47,281.46,290.00,0.47
1,283.13,290.00,0.48,290.79,290.00,0.42,290.75,290.00,0.43
2,293.69,290.00,0.42,314.01,290.00,0.26,316.71,290.00,0.24
3,303.31,290.00,0.34,328.64,290.00,0.11,327.87,290.00,0.11
4,302.09,290.00,0.32,330.23,290.00,0.02,325.95,290.00,0.05
5,304.88,290.00,0.28,319.55,290.00,0.01,317.90,290.00,0.03
